Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
SANVI,2025-07-20,359.0,394.9,359.0,394.9,10.0,350.0,136429.0,,,,,394.9,394.9,,0.0,0.0,35.89999999999998,,,,,0.0
SANVI,2025-07-21,388.7,434.3,388.7,434.3,9.98 %,450.0,193508.0,0.09977209420106359,0.09510297124817248,,,400.96153846153845,397.81851851851854,99.99999999746193,3.143019943019908,0.6286039886039817,36.59285714285713,,,,,450.0
SANVI,2025-07-22,442.9,477.7,442.9,477.7,9.99,500.0,237994.0,0.09993092332489062,0.09524738085513997,,,412.76745562130174,403.7356652949246,99.9999999974802,9.03179032637712,2.3092412561586095,37.07908163265305,,,,,950.0
SANVI,2025-07-23,487.2,525.4,487.2,525.4,9.99,710.0,372096.0,0.09985346451747956,0.0951769568555233,,,430.0955393718707,412.74783823604133,99.99999999751603,17.347701135829368,5.316933232092762,37.83771865889212,,,,,1660.0
SANVI,2025-07-24,535.9,577.9,535.9,577.9,9.99 %,690.0,397721.0,0.09992386752950133,0.0952409660722928,482.03999999999996,,452.8346871608137,424.9813317000383,99.99999999756884,27.85335546077539,9.824217677829289,38.88502446897126,,,,,2350.0
SANVI,2025-07-27,589.4,635.6,589.4,635.6,9.98 %,1170.0,742517.0,0.09984426371344535,0.09516859133882873,530.18,,480.9524275976116,440.58271453707255,99.99999999763682,40.36971306053903,15.933316754371237,40.22895129261617,,,,,3520.0
SANVI,2025-07-28,648.0,699.1,648.0,699.1,9.99 %,2644.0,1847131.8,0.09990560100692258,0.09522435885537855,583.1400000000001,,514.5135925825944,459.732143089882,99.9999999977184,54.78144949271234,23.702943302039458,41.8911690574293,,,,,6164.0
SANVI,2025-07-29,713.0,769.0,713.0,769.0,10.00 %,3416.0,2625469.8,0.09998569589472184,0.09529717598770454,641.4,,553.6653475698876,482.6408732313722,99.9999999978114,71.02447433851535,33.16724950933464,43.8917998390415,,,,,9580.0
SANVI,2025-07-30,784.3,845.9,784.3,845.9,10.0,4200.0,3546923.5,0.09999999999999987,0.09531017980432474,705.5,,598.624524866828,509.54895669571505,99.9999999979132,89.07556817111293,44.3489132416903,46.2495284219671,,,,,13780.0
SANVI,2025-07-31,862.8,930.4,845.9,891.5,5.39,279583.0,249481931.4,0.05390708121527377,0.05250428799322635,768.22,,643.6822902719314,537.8416265701065,99.99999999790597,105.84066370182484,56.647263333717206,48.98170496325516,,,,,293363.0
