transact_no,symbol,buyer_broker,seller_broker,quantity,rate,amount,date
2026040101032529,GBIME,43,7,80,239.00,19120.00,2026-04-01
2026040101032368,GBIME,36,57,200,237.10,47420.00,2026-04-01
2026040101032355,GBIME,22,7,10,239.00,2390.00,2026-04-01
2026040101032344,GBIME,36,46,300,237.10,71130.00,2026-04-01
2026040101032091,GBIME,36,1,100,237.10,23710.00,2026-04-01
2026040101031805,GBIME,53,99,155,237.00,36735.00,2026-04-01
2026040101013170,GBIME,29,58,100,240.60,24060.00,2026-04-01
2026040101013169,GBIME,58,58,16,240.70,3851.20,2026-04-01
2026040101013176,GBIME,17,58,1930,240.20,463586.00,2026-04-01
2026040101013175,GBIME,45,58,50,240.50,12025.00,2026-04-01
2026040101013174,GBIME,41,58,100,240.50,24050.00,2026-04-01
2026040101013173,GBIME,28,58,19976,240.50,4804228.00,2026-04-01
2026040101013172,GBIME,22,58,500,240.60,120300.00,2026-04-01
2026040101013171,GBIME,42,58,400,240.60,96240.00,2026-04-01
2026040101013182,GBIME,64,58,20,240.00,4800.00,2026-04-01
2026040101013181,GBIME,6,58,200,240.00,48000.00,2026-04-01
2026040101013180,GBIME,41,58,1975,240.00,474000.00,2026-04-01
2026040101013179,GBIME,14,58,250,240.10,60025.00,2026-04-01
2026040101013178,GBIME,32,58,300,240.10,72030.00,2026-04-01
2026040101013177,GBIME,14,58,20,240.20,4804.00,2026-04-01
2026040101013188,GBIME,41,58,100,240.00,24000.00,2026-04-01
2026040101013187,GBIME,58,58,145,240.00,34800.00,2026-04-01
2026040101013186,GBIME,21,58,120,240.00,28800.00,2026-04-01
2026040101013185,GBIME,86,58,200,240.00,48000.00,2026-04-01
2026040101013184,GBIME,57,58,10,240.00,2400.00,2026-04-01
2026040101013183,GBIME,41,58,33,240.00,7920.00,2026-04-01
2026040101013194,GBIME,6,58,6284,239.40,1504389.60,2026-04-01
2026040101013193,GBIME,58,58,100,239.50,23950.00,2026-04-01
2026040101013192,GBIME,38,58,50,239.70,11985.00,2026-04-01
2026040101013191,GBIME,58,58,100,240.00,24000.00,2026-04-01
2026040101013190,GBIME,58,58,100,240.00,24000.00,2026-04-01
2026040101013189,GBIME,51,58,45,240.00,10800.00,2026-04-01
2026040101013200,GBIME,34,58,20,239.20,4784.00,2026-04-01
2026040101013199,GBIME,17,58,200,239.20,47840.00,2026-04-01
2026040101013198,GBIME,58,58,35,239.20,8372.00,2026-04-01
2026040101013197,GBIME,10,58,190,239.20,45448.00,2026-04-01
2026040101013196,GBIME,55,58,200,239.30,47860.00,2026-04-01
2026040101013195,GBIME,34,58,468,239.30,111992.40,2026-04-01
2026040101013287,GBIME,76,57,10,242.50,2425.00,2026-04-01
2026040101013210,GBIME,58,26,8,243.00,1944.00,2026-04-01
2026040101013204,GBIME,17,58,238,239.20,56929.60,2026-04-01
2026040101013203,GBIME,6,58,500,239.20,119600.00,2026-04-01
2026040101013202,GBIME,17,58,1000,239.20,239200.00,2026-04-01
2026040101013201,GBIME,58,58,500,239.20,119600.00,2026-04-01
2026040101013835,GBIME,10,38,3,236.00,708.00,2026-04-01
2026040101013783,GBIME,59,56,937,239.20,224130.40,2026-04-01
2026040101013407,GBIME,49,45,1388,239.10,331870.80,2026-04-01
2026040101013406,GBIME,17,45,2262,239.20,541070.40,2026-04-01
2026040101013405,GBIME,7,45,300,239.30,71790.00,2026-04-01
2026040101013404,GBIME,76,45,50,239.40,11970.00,2026-04-01
2026040101014378,GBIME,21,6,125,239.60,29950.00,2026-04-01
2026040101014355,GBIME,42,34,200,239.50,47900.00,2026-04-01
2026040101014276,GBIME,29,6,100,239.60,23960.00,2026-04-01
2026040101013971,GBIME,49,36,490,239.30,117257.00,2026-04-01
2026040101013970,GBIME,4,36,90,239.30,21537.00,2026-04-01
2026040101013969,GBIME,11,36,20,240.00,4800.00,2026-04-01
2026040101014685,GBIME,1,58,14,239.80,3357.20,2026-04-01
2026040101014670,GBIME,1,44,186,239.80,44602.80,2026-04-01
2026040101014667,GBIME,89,44,14,239.80,3357.20,2026-04-01
2026040101014660,GBIME,29,44,100,239.80,23980.00,2026-04-01
2026040101014632,GBIME,39,44,200,239.80,47960.00,2026-04-01
2026040101014481,GBIME,16,6,175,239.60,41930.00,2026-04-01
2026040101014943,GBIME,32,62,100,239.70,23970.00,2026-04-01
2026040101014867,GBIME,56,62,200,239.70,47940.00,2026-04-01
2026040101014833,GBIME,45,62,20,239.70,4794.00,2026-04-01
2026040101014818,GBIME,48,62,1657,239.70,397182.90,2026-04-01
2026040101014699,GBIME,48,32,1118,239.70,267984.60,2026-04-01
2026040101014686,GBIME,48,58,225,239.70,53932.50,2026-04-01
2026040101014988,GBIME,18,40,100,239.50,23950.00,2026-04-01
2026040101014956,GBIME,35,41,98,239.40,23461.20,2026-04-01
2026040101014955,GBIME,45,41,27,239.40,6463.80,2026-04-01
2026040101014954,GBIME,14,41,75,239.50,17962.50,2026-04-01
2026040101014953,GBIME,26,41,300,239.50,71850.00,2026-04-01
2026040101014952,GBIME,42,41,500,239.50,119750.00,2026-04-01
2026040101015117,GBIME,35,42,152,239.40,36388.80,2026-04-01
2026040101015116,GBIME,21,42,86,239.50,20597.00,2026-04-01
2026040101015108,GBIME,76,35,10,240.90,2409.00,2026-04-01
2026040101015079,GBIME,1,62,23,239.70,5513.10,2026-04-01
2026040101015033,GBIME,1,40,77,239.50,18441.50,2026-04-01
2026040101014990,GBIME,1,40,23,239.50,5508.50,2026-04-01
2026040101015129,GBIME,45,35,25,239.20,5980.00,2026-04-01
2026040101015128,GBIME,59,35,1063,239.20,254269.60,2026-04-01
2026040101015127,GBIME,54,35,400,239.30,95720.00,2026-04-01
2026040101015126,GBIME,49,35,210,239.30,50253.00,2026-04-01
2026040101015125,GBIME,10,35,138,239.40,33037.20,2026-04-01
2026040101015118,GBIME,10,42,362,239.40,86662.80,2026-04-01
2026040101015183,GBIME,49,14,475,239.10,113572.50,2026-04-01
2026040101015182,GBIME,29,14,25,239.20,5980.00,2026-04-01
2026040101015175,GBIME,29,52,15,239.20,3588.00,2026-04-01
2026040101015148,GBIME,49,38,48,239.10,11476.80,2026-04-01
2026040101015131,GBIME,49,35,2982,239.10,712996.20,2026-04-01
2026040101015130,GBIME,16,35,1882,239.20,450174.40,2026-04-01
2026040101015419,GBIME,18,35,100,240.90,24090.00,2026-04-01
2026040101015403,GBIME,76,35,10,240.90,2409.00,2026-04-01
2026040101015249,GBIME,49,34,24,239.10,5738.40,2026-04-01
