date,title,url,category,source,domain
2017-01-01,Nepse sees buying pressure mid,http://thehimalayantimes.com/business/nepse-sees-buying-pressure-mid-week/,gdelt,gdelt,thehimalayantimes.com
2017-01-01,Nepse ends 2016 on a high note,http://kathmandupost.ekantipur.com/news/2017-01-01/nepse-ends-2016-on-a-high-note.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-01-01,Nepse sees buying pressure mid,https://thehimalayantimes.com/business/nepse-sees-buying-pressure-mid-week/,gdelt,gdelt,thehimalayantimes.com
2017-01-02,Nepse can reflect real picture of economy only after real sector firms are listed,http://thehimalayantimes.com/business/nepse-can-reflect-real-picture-of-economy-only-after-real-sector-firms-are-listed/,gdelt,gdelt,thehimalayantimes.com
2017-01-02,Nepse can reflect real picture of economy only after real sector firms are listed,https://thehimalayantimes.com/business/nepse-can-reflect-real-picture-of-economy-only-after-real-sector-firms-are-listed/,gdelt,gdelt,thehimalayantimes.com
2017-01-03,Ordinary shares of Khanikhola Hydropower enlisted in NEPSE,http://www.annapurnapost.com/annanote/news/3058/Ordinary-shares-of-Khanikhola-Hydropower-enlisted-in-NEPSE,gdelt,gdelt,annapurnapost.com
2017-01-03,Ordinary shares of Khanikhola Hydropower enlisted in NEPSE,http://annapurnapost.com/annanote/news/3058/Ordinary-shares-of-Khanikhola-Hydropower-enlisted-in-NEPSE,gdelt,gdelt,annapurnapost.com
2017-01-04,Turnover on Nepse slips below Rs400m mark,http://kathmandupost.ekantipur.com/news/2017-01-04/turnover-on-nepse-slips-below-rs400m-mark.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-01-05,Shareholder scare,http://nepalitimes.com/news.php?id=6900,gdelt,gdelt,nepalitimes.com
2017-01-08,Nepse begins 2017 on a cautious note,http://kathmandupost.ekantipur.com/news/2017-01-08/nepse-begins-2017-on-a-cautious-note.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-01-08,Secondary market welcomes 2017 in positive territory,http://thehimalayantimes.com/business/secondary-market-welcomes-2017-in-positive-territory/,gdelt,gdelt,thehimalayantimes.com
2017-01-08,Secondary market welcomes 2017 in positive territory,https://thehimalayantimes.com/business/secondary-market-welcomes-2017-in-positive-territory/,gdelt,gdelt,thehimalayantimes.com
2017-01-09,"Dispute between Sebon , Nepse spreads confusion",http://kathmandupost.ekantipur.com/news/2017-01-09/dispute-between-sebon-nepse-spreads-confusion.html,gdelt,gdelt,kathmandupost.ekantipur.com
