symbol,sector,sub_index
ADBL,Commercial Banks,Commercial Bank
AHL,Hydropower,Hydro Power
AHPC,Hydropower,Hydro Power
AKJCL,Hydropower,Hydro Power
AKPL,Hydropower,Hydro Power
ALICL,Life Insurance,Life Insurance
API,Hydropower,Hydro Power
BARUN,Hydropower,Hydro Power
BBC,Manufacturing And Processing,Manufacturing And Processing
BEDC,Hydropower,Hydro Power
BFC,Finance,Finance
BGWT,Hydropower,Hydro Power
BHPL,Hydropower,Hydro Power
BNL,Manufacturing And Processing,Manufacturing And Processing
BNT,Manufacturing And Processing,Manufacturing And Processing
BPCL,Hydropower,Hydro Power
CBBL,Microfinance,Microfinance
CGH,Hotels And Tourism,Hotels And Tourism
CHCL,Hydropower,Hydro Power
CHDC,Hydropower,Hydro Power
CHL,Hydropower,Hydro Power
CIT,Investment,Investment
CITY,Hotels And Tourism,Hotels And Tourism
CLI,Life Insurance,Life Insurance
CZBIL,Commercial Banks,Commercial Bank
DDBL,Microfinance,Microfinance
EBL,Commercial Banks,Commercial Bank
FMDBL,Microfinance,Microfinance
FOWAD,Microfinance,Microfinance
GBBL,Development Banks,Development Bank
GBIME,Commercial Banks,Commercial Bank
GBLBS,Microfinance,Microfinance
GFCL,Finance,Finance
HATHY,Investment,Investment
HBL,Commercial Banks,Commercial Bank
HDL,Manufacturing And Processing,Manufacturing And Processing
HEI,Non-Life Insurance,Non Life Insurance
HIDCL,Investment,Investment
HPPL,Hydropower,Hydro Power
HRL,Manufacturing And Processing,Manufacturing And Processing
ILI,Life Insurance,Life Insurance
JBBL,Development Banks,Development Bank
JFL,Finance,Finance
JOSHI,Hydropower,Hydro Power
KBL,Commercial Banks,Commercial Bank
KDL,Manufacturing And Processing,Manufacturing And Processing
KPCL,Hydropower,Hydro Power
LICN,Life Insurance,Life Insurance
LLBS,Microfinance,Microfinance
MANDU,Hydropower,Hydro Power
MBL,Commercial Banks,Commercial Bank
MDB,Development Banks,Development Bank
MFIL,Finance,Finance
MLBBL,Microfinance,Microfinance
MNBBL,Development Banks,Development Bank
MSHL,Hydropower,Hydro Power
NABIL,Commercial Banks,Commercial Bank
NADEP,Microfinance,Microfinance
NBL,Commercial Banks,Commercial Bank
NHPC,Hydropower,Hydro Power
NICA,Commercial Banks,Commercial Bank
NICL,Non-Life Insurance,Non Life Insurance
NIL,Non-Life Insurance,Non Life Insurance
NLG,Non-Life Insurance,Non Life Insurance
NLIC,Life Insurance,Life Insurance
NMB,Commercial Banks,Commercial Bank
NRIC,Non-Life Insurance,Non Life Insurance
NTC,Others,Others
NUBL,Microfinance,Microfinance
OHL,Hotels And Tourism,Hotels And Tourism
PCBL,Commercial Banks,Commercial Bank
PRIN,Non-Life Insurance,Non Life Insurance
RAWA,Hydropower,Hydro Power
RBCL,Non-Life Insurance,Non Life Insurance
RHPL,Hydropower,Hydro Power
RLFL,Finance,Finance
RNLI,Life Insurance,Life Insurance
SADBL,Development Banks,Development Bank
SAHAS,Hydropower,Hydro Power
SANIMA,Commercial Banks,Commercial Bank
SANVI,Hydropower,Hydro Power
SAPDBL,Development Banks,Development Bank
SBI,Commercial Banks,Commercial Bank
SBL,Commercial Banks,Commercial Bank
SCB,Commercial Banks,Commercial Bank
SHIVM,Manufacturing And Processing,Manufacturing And Processing
SHL,Hotels And Tourism,Hotels And Tourism
SHPC,Hydropower,Hydro Power
SICL,Non-Life Insurance,Non Life Insurance
SIKLES,Hydropower,Hydro Power
SINDU,Development Banks,Development Bank
SKBBL,Microfinance,Microfinance
SNLI,Life Insurance,Life Insurance
SPDL,Hydropower,Hydro Power
SWBBL,Microfinance,Microfinance
TRH,Hotels And Tourism,Hotels And Tourism
UNHPL,Hydropower,Hydro Power
UNL,Manufacturing And Processing,Manufacturing And Processing
UPCL,Hydropower,Hydro Power
UPPER,Hydropower,Hydro Power
